"Brand","Model.Name","Car.Type","Year","Length","Width","Height","Weight","Fuel.Delivery","Transmission","Gears","Engine.Size","Cylinders","Accel.To.60","Top.Speed","Power.Output","Valves","List.Price","MPG","Euro.Emissions.Standard","CO2.Emissions","Wheelbase","Luggage.Capacity","Fuel.Capacity"
"Porsche","Panamera GTS","Luxury","2013",5015,1931,1418,1925,"Direct injection","Automatic",7,4806,"8",4.3,178,433,"32",94316,27,6,239,2920,445,100
"Audi","RS 3 Sportback","Compact executive","2015",4343,1966,1411,1520,"Turbo direct injection","Automatic",7,2480,"5",4.2,155,361,"20",39955,34,6,189,2631,280,55
"Volkswagen","Touran","Compact MPV","2010",4397,2081,1634,1544,"Common rail","Manual",6,1598,"4",12.4,116,103,"16",23855,61,5,121,2678,121,60
"Peugeot","308 GT","Small family","2014",4253,2043,1457,1200,"Turbo direct injection","Manual",6,1598,"4",7.3,146,202,"-",24095,50,6,130,2620,501,53
"Skoda","Fabia","Supermini","2015",4257,1958,1467,1105,"Common rail","Manual",5,1422,"3",10.9,114,88,"12",17385,78,6,94,2470,530,45
"BMW","118","Compact executive","2015",4329,1984,1421,1350,"Common rail","Manual",6,1995,"4",8,132,147,"16",23855,68,6,109,2690,360,52
"Suzuki","Vitara","Compact SUV","2015",4175,1775,NA,1295,"Common rail","Manual",6,1598,"4",11,112,118,"16",21299,67,6,111,2500,375,47
"Mazda","CX-5","Compact SUV","2012",4555,1840,1710,1450,"Direct injection","Manual",6,2191,"4",8.9,126,147,"16",27195,61,6,119,2700,503,56
"Skoda","Fabia","Supermini","2015",3992,1958,1467,1081,"Common rail","Manual",5,1422,"3",10.7,113,88,"12",16240,78,6,93,2470,330,45
"Citroen","C4","Small family","2015",4329,1789,1489,1200,"Common rail","Manual",5,1560,"4",11.1,111,98,"8",18345,78,6,95,2608,380,60
"Volkswagen","Passat","Large family","2015",4767,2083,1456,1474,"Common rail","Automatic",6,1968,"4",7.5,146,187,"16",29495,61,6,119,2791,586,66
"Ford","Mondeo","Large family","2014",4871,2121,1482,1503,"Common rail","Manual",6,1997,"4",9,134,147,"16",25795,67,6,109,2850,541,62
"Land Rover","Discovery","Large 4x4","2015",4599,2173,1724,1854,"Common rail","Manual",6,2179,"4",9.8,117,187,"16",33895,46,5,162,2741,981,65
